Item Type / Item Number / Item Stock
book,1,28,
book,2,25,
book,3,15,
book,4,37,
book,5,8,
cd,6,50,
cd,7,39,
cd,8,19,
cd,9,49,
cd,10,33,
dvd,11,30,
dvd,12,10,
dvd,13,15,
dvd,14,12,
dvd,15,18,
Membership Type / Member ID / Last Name / First name / Balance / Dues Payed
member,1,Doe,John,25.95,false,
member,2,Freeman,Connor,0.0,false,
member,3,Doe,Jane,12.65,false,
premiummember,4,j,j,27.361,true,
premiummember,5,k,k,23.5,true,
member,6,McBeans,Beans,9.99,false,
member,7,j,c,7.5,false,
premiummember,8,F,F,41.30200000000001,true,
